"REGION_KEY","REGION_NAME","CLUSTER_KEY","CLUSTER_NAME","MINI_CLUSTER_KEY","MINI_CLUSTER_NAME","CELL_SITE_KEY","CELL_SITE_CD"
1,North East,"6",Shan South,"246",Kalaw,1000210,SH0397
5,South West,"13",Hinthada,"304",Hinthada,1000233,AY0126
4,Yangon,"17",Yangon 3,"211",Tamwe,1000395,YN0793
4,Yangon,"17",Yangon 3,"211",Tamwe,1000481,YN0763
1,North East,"4",Shan East,"294",Tachileik,1000513,SH0277
4,Yangon,"17",Yangon 3,"211",Tamwe,1000551,YN0025
1,North East,"6",Shan South,"250",Pinlaung,1001259,SH0216
3,South East,"31",Mon South,"173",Thanbyuzayat,1001577,MO0347
3,South East,"34",Tanintharyi South,"85",Palaw,1001878,TN0171
2,North West,"1",Kachin,"1",Myitkyina,1001985,KC0116
1,North East,"6",Shan South,"252",Loilen,1002223,SH0569
5,South West,"29",Maubin,"317",Nyaungdon,1002262,AY0342
1,North East,"24",Mandalay 3,"164",Yamethin,1002343,MD0174
1,North East,"24",Mandalay 3,"164",Yamethin,1002355,MD0330
1,North East,"24",Mandalay 3,"164",Yamethin,1002361,MD0115
5,South West,"29",Maubin,"317",Nyaungdon,1002395,AY0926
5,South West,"29",Maubin,"317",Nyaungdon,1002401,AY0935
5,South West,"29",Maubin,"317",Nyaungdon,1002451,AY0938
3,South East,"22",Mon North,"177",Paung,1003482,MO0116
5,South West,"20",Bago West,"103",Pyay,1003789,BA0148
1,North East,"6",Shan South,"250",Pinlaung,1004186,SH0635
5,South West,"20",Bago West,"103",Pyay,1004216,BA0125
5,South West,"13",Hinthada,"304",Hinthada,1004226,AY1101
5,South West,"29",Maubin,"316",Pantanaw,1004516,AY1072
1,North East,"4",Shan East,"294",Tachileik,1004613,SH0572
2,North West,"1",Kachin,"1",Myitkyina,1004776,KC0377
1,North East,"24",Mandalay 3,"164",Yamethin,1004813,MD0680
4,Yangon,"15",Yangon 1,"239",Dagon,1005263,YN1675
5,South West,"20",Bago West,"103",Pyay,1005377,BA0854
4,Yangon,"17",Yangon 3,"211",Tamwe,1005449,YN1873
5,South West,"13",Hinthada,"304",Hinthada,1005486,AY0118
5,South West,"20",Bago West,"103",Pyay,1005496,BA1018
2,North West,"1",Kachin,"1",Myitkyina,1005583,KC0490-1
5,South West,"29",Maubin,"317",Nyaungdon,1005666,AY1352
5,South West,"29",Maubin,"317",Nyaungdon,1005745,AY1086_C
5,South West,"20",Bago West,"103",Pyay,1005813,BA1172
1,North East,"6",Shan South,"246",Kalaw,1006045,SH0898
5,South West,"20",Bago West,"103",Pyay,1006052,BA1152
5,South West,"14",Pathein,"310",Myaungmya,1006325,AY1272
5,South West,"13",Hinthada,"304",Hinthada,1006520,AY1346
5,South West,"14",Pathein,"310",Myaungmya,1006599,AY1349
1,North East,"24",Mandalay 3,"164",Yamethin,1006948,MD0987
1,North East,"6",Shan South,"252",Loilen,1007668,SH0839
2,North West,"1",Kachin,"1",Myitkyina,1007679,KC0567
